What is your university name ?,What is your current level of education?,How often do you use AI tools like ChatGPT  for academic purposes?,How do you think ChatGPT has influenced teaching methods in your courses?,Has ChatGPT influenced your approach to solving complex academic problems or  assignments  ? ,Do you use ChatGPT for group study or collaborative learning ?,Do you feel that AI assists you in self-paced learning ?, Does ChatGPT help improve critical thinking and problem-solving?,"Has ChatGPT provided useful guidance on your career path or educational choices ?",How worried are you about the privacy and safety of your personal data when using AI tools like ChatGPT for academic tasks?,Do you think relying too much on AI tools like ChatGPT could harm students creativity and critical thinking skills?,Do you believe using AI tools like ChatGPT reduces your creativity and critical thinking?,Do you believe AI tools (like ChatGPT) improve your learning experience?
Dhaka University,Postgraduate,Never,It has had no impact on teaching methods,No,No,No,No,No,Not worried,Strongly disagree,No,No
khulna university,Postgraduate,Weekly,I am not sure how it affects teaching methods,Yes,Sometime,Yes,No,Yes,Not worried,Disagree,Yes,Maybe
khulna university,Postgraduate,Weekly,I am not sure how it affects teaching methods,Yes,Yes,Not Sure,Yes,Yes,Somewhat worried,Neutral,Sometimes,Maybe
khulna university,Postgraduate,Monthly,It has improved teaching methods significantly,Not Sure,Sometime,No,Not Sure,Not Sure,Not worried,Agree,Sometimes,Maybe
khulna University,Postgraduate,Monthly,It has had no impact on teaching methods,Yes,No,Yes,Not Sure,Not Sure,Not worried,Agree,Sometimes,Maybe
khulna university,Postgraduate,Monthly,It has slightly improved teaching methods,No,No,No,No,No,Somewhat worried,Disagree,Sometimes,No
khulna university,Postgraduate,Daily,It has improved teaching methods significantly,Not Sure,Yes,Not Sure,Yes,Not Sure,Somewhat worried,Agree,Yes,Maybe
khulna university,Postgraduate,Monthly,It has slightly improved teaching methods,Not Sure,No,Not Sure,Yes,Yes,Somewhat worried,Disagree,Yes,Maybe
KU,Postgraduate,Never,I am not sure how it affects teaching methods,Not Sure,No,No,No,No,worried,Strongly agree,No,No
khulna university,Postgraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Yes,Not Sure,Yes,worried,Agree,Sometimes,Maybe
khulna university,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,No
khulna university,Postgraduate,Weekly,It has slightly improved teaching methods,Not Sure,Yes,Yes,Yes,No,Somewhat worried,Agree,No,Yes
khulna university,Postgraduate,Weekly,It has slightly improved teaching methods,No,Yes,No,No,No,Somewhat worried,Neutral,Sometimes,No
khulna university,Postgraduate,Monthly,It has had no impact on teaching methods,Yes,Yes,Not Sure,No,Yes,Not worried,Agree,Yes,Maybe
khulna university,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Yes,Somewhat worried,Agree,Sometimes,Yes
khulna university,Postgraduate,Daily,It has improved teaching methods significantly,Not Sure,Sometime,No,No,No,worried,Strongly agree,Sometimes,Yes
khulna university,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Not Sure,worried,Disagree,Sometimes,Maybe
khulna university,Postgraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Not Sure,worried,Strongly disagree,Sometimes,Yes
Eastern University,Postgraduate,Weekly,I am not sure how it affects teaching methods,Not Sure,No,Not Sure,Not Sure,No,worried,Strongly agree,Sometimes,Maybe
Eastern University,Postgraduate,Daily,It has improved teaching methods significantly,No,No,No,No,No,Somewhat worried,Agree,No,Yes
Eastern University,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Sometimes,Maybe
Eastern University,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Not Sure,Yes,Yes,Somewhat worried,Neutral,Sometimes,Maybe
Eastern University,Postgraduate,Never,It has slightly improved teaching methods,Not Sure,Sometime,Yes,Not Sure,Not Sure,Not worried,Strongly disagree,Sometimes,Yes
Eastern University,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Not Sure,Yes,Somewhat worried,Disagree,No,No
Eastern University,Postgraduate,Daily,I am not sure how it affects teaching methods,No,Sometime,Not Sure,No,No,worried,Agree,Sometimes,Maybe
Eastern University,Postgraduate,Weekly,It has had no impact on teaching methods,Yes,Yes,Yes,Not Sure,Yes,worried,Neutral,Yes,Maybe
Eastern University,Postgraduate,Monthly,I am not sure how it affects teaching methods,Not Sure,Yes,Not Sure,Yes,Not Sure,Not worried,Agree,Sometimes,Maybe
Eastern University,Postgraduate,Daily,I am not sure how it affects teaching methods,Yes,Sometime,Yes,No,No,Not worried,Strongly disagree,Sometimes,No
Eastern University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Not worried,Strongly agree,Sometimes,Maybe
Eastern University,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Sometime,Yes,Not Sure,Yes,worried,Agree,Sometimes,Yes
Eastern University,Postgraduate,Weekly,I am not sure how it affects teaching methods,Not Sure,Sometime,No,Yes,Not Sure,Not worried,Strongly disagree,Yes,Yes
Eastern University,Postgraduate,Monthly,I am not sure how it affects teaching methods,Not Sure,Yes,Not Sure,Yes,Yes,Not worried,Agree,Yes,Yes
Eastern University,Undergraduate,Never,It has slightly improved teaching methods,Yes,Sometime,Yes,Not Sure,Not Sure,Not worried,Strongly agree,Sometimes,Yes
Eastern University,Postgraduate,Daily,I am not sure how it affects teaching methods,Not Sure,Sometime,Not Sure,Yes,No,Somewhat worried,Agree,Yes,Yes
Eastern University,Postgraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Not Sure,Not Sure,Yes,Not worried,Agree,Sometimes,No
Eastern University,Postgraduate,Weekly,I am not sure how it affects teaching methods,Yes,Yes,Not Sure,Not Sure,Yes,Somewhat worried,Agree,Sometimes,Yes
BUP,Postgraduate,Never,I am not sure how it affects teaching methods,No,No,No,No,No,Not worried,Neutral,No,Yes
Bangladesh University of Professionals,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Not Sure,No,Not Sure,Not worried,Agree,No,Yes
Bangladesh University of Professionals,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Disagree,Sometimes,Maybe
BUP,Postgraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Not Sure,Not worried,Strongly agree,Sometimes,No
Bangladesh University of Professionals,Postgraduate,Daily,It has improved teaching methods significantly,Not Sure,Sometime,No,No,No,"Somewhat worried, Not worried",Neutral,Sometimes,Maybe
Bangladesh University of Professionals,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,No,No,Yes,No,Not worried,Strongly disagree,No,Yes
Bangladesh University of Professionals,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Not Sure,Yes,Yes,Not worried,Disagree,Yes,Maybe
BUP,Postgraduate,Daily,It has improved teaching methods significantly,No,No,No,Yes,Not Sure,Not worried,Strongly agree,Sometimes,Maybe
Bangladesh University of Professionals,Postgraduate,Daily,I am not sure how it affects teaching methods,Yes,Sometime,Not Sure,Not Sure,Not Sure,Not worried,Strongly agree,Sometimes,Maybe
Bangladesh University of Professionals,Postgraduate,Never,I am not sure how it affects teaching methods,Yes,No,Yes,No,Not Sure,Not worried,Agree,Sometimes,Maybe
Bangladesh University of Professionals,Postgraduate,Daily,It has improved teaching methods significantly,Not Sure,No,No,Not Sure,Yes,Not worried,Neutral,Sometimes,Maybe
Bangladesh University of Professionals,Postgraduate,Weekly,It has slightly improved teaching methods,Not Sure,Yes,Yes,Yes,Not Sure,Not worried,Disagree,Sometimes,Maybe
BUP,Postgraduate,Never,It has improved teaching methods significantly,Yes,Sometime,Not Sure,Yes,Not Sure,Not worried,Strongly disagree,Sometimes,Maybe
Bangladesh University of Professional,Postgraduate,Monthly,It has improved teaching methods significantly,No,Sometime,Not Sure,Not Sure,Not Sure,worried,Agree,Sometimes,Maybe
BUP,Postgraduate,Weekly,I am not sure how it affects teaching methods,Yes,Sometime,Not Sure,Yes,No,Somewhat worried,Neutral,No,Yes
Daffodil international University ,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Not Sure,Somewhat worried,Strongly agree,Sometimes,Maybe
Bangladesh University of Professionals,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Not Sure,No,Not Sure,Not worried,Agree,Sometimes,No
Bangladesh University of Professionals,Undergraduate,Weekly,It has slightly improved teaching methods,Not Sure,Yes,Not Sure,No,No,Not worried,Neutral,Yes,Maybe
Bangladesh University of Professionals,Postgraduate,Monthly,I am not sure how it affects teaching methods,Not Sure,Sometime,Yes,No,No,Not worried,Neutral,Yes,No
Daffodil international University ,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Yes
AIUB,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Not Sure,Yes,worried,Agree,Yes,Yes
AIUB,Postgraduate,Daily,It has improved teaching methods significantly,Not Sure,Yes,Yes,Yes,Yes,worried,Disagree,Sometimes,Yes
AIUB,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Not Sure,worried,Strongly agree,Yes,Yes
AIUB,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
AIUB,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Yes,Not Sure,Yes,Yes,worried,Agree,No,Yes
AIUB,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Yes,Not worried,Agree,Yes,Yes
AIUB,Postgraduate,Never,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Not Sure,worried,Agree,Sometimes,Maybe
AIUB,Postgraduate,Daily,It has slightly improved teaching methods,Not Sure,Yes,Not Sure,Yes,Yes,Not worried,Neutral,Yes,Yes
AIUB,Undergraduate,Monthly,It has had no impact on teaching methods,Yes,Yes,Yes,Not Sure,Yes,worried,Agree,Yes,Yes
AIUB,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
AIUB,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
American International  University-Bangladesh,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Yes,Yes,Not Sure,Yes,Not worried,Strongly agree,Sometimes,Yes
Dhaka University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Yes,Maybe
American International  University-Bangladesh,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
AIUB,Undergraduate,Weekly,It has improved teaching methods significantly,Not Sure,Yes,Yes,Not Sure,Yes,Not worried,Neutral,Yes,Yes
Dhaka University ,Undergraduate,Weekly,It has improved teaching methods significantly,No,No,Yes,Yes,No,worried,Neutral,Sometimes,Maybe
American International  University-Bangladesh,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Yes,Not worried,Strongly agree,Sometimes,Yes
American International  University-Bangladesh,Undergraduate,Daily,It has improved teaching methods significantly,Not Sure,Yes,Yes,Not Sure,Yes,Not worried,Strongly agree,Yes,Yes
Dhaka University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
American International  University-Bangladesh,Undergraduate,Weekly,It has improved teaching methods significantly,Not Sure,Sometime,Yes,Not Sure,Yes,"worried, Somewhat worried",Strongly agree,Yes,Yes
AIUB,Postgraduate,Weekly,It has improved teaching methods significantly,Not Sure,Yes,Not Sure,Yes,Not Sure,Somewhat worried,Neutral,Sometimes,Yes
Dhaka University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
American International  University-Bangladesh,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Yes,Maybe
Dhaka University ,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
American International  University-Bangladesh,Postgraduate,Weekly,It has slightly improved teaching methods,Not Sure,Yes,Yes,No,Yes,worried,Strongly disagree,Sometimes,Yes
American International  University-Bangladesh,Undergraduate,Never,It has improved teaching methods significantly,Yes,No,Yes,No,Not Sure,Not worried,Strongly disagree,Sometimes,No
Dhaka University ,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Maybe
American International  University-Bangladesh,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Dhaka University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Not Sure,Yes,Somewhat worried,Neutral,Yes,Maybe
American International  University-Bangladesh,Undergraduate,Daily,It has had no impact on teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
American International  University-Bangladesh,Undergraduate,Weekly,It has had no impact on teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Maybe
Dhaka University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,No,No,Somewhat worried,Strongly agree,Sometimes,Maybe
AIUB,Undergraduate,Weekly,It has improved teaching methods significantly,Not Sure,Yes,Yes,Not Sure,Yes,worried,Agree,Yes,Yes
Dhaka University ,Postgraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Not Sure,Somewhat worried,Strongly agree,Yes,Yes
Dhaka University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Maybe
Dhaka University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Dhaka University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Not Sure,Yes,Yes,Somewhat worried,Neutral,Sometimes,Maybe
Dhaka University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Maybe
Dhaka University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Dhaka University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Maybe
Dhaka University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Not Sure,Not Sure,Somewhat worried,Neutral,Yes,Yes
Dhaka University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Dhaka University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,No,No,No,Somewhat worried,Agree,Yes,Yes
Dhaka University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,It has slightly improved teaching methods,Not Sure,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Maybe
Daffodil international University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Disagree,Yes,Yes
Daffodil international University,Undergraduate,Daily,It has improved teaching methods significantly,Not Sure,Yes,Not Sure,Not Sure,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil international University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Dhaka University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Yes,Yes
Dhaka University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Not Sure,Somewhat worried,Neutral,Sometimes,Maybe
Dhaka University ,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Yes,Not Sure,Yes,worried,Neutral,Sometimes,Maybe
Dhaka University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Strongly agree,Yes,Yes
Dhaka University ,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Not Sure,Yes,Yes,Somewhat worried,Neutral,Sometimes,Maybe
Dhaka University ,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,No,No,Yes,Somewhat worried,Agree,Yes,Yes
Dhaka University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,No,No,No,No,worried,Neutral,Sometimes,Maybe
Dhaka University ,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Maybe
Dhaka University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Yes,Yes
Dhaka University ,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
Dhaka University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Strongly agree,Yes,Yes
Dhaka University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Not Sure,Somewhat worried,Strongly agree,No,No
Dhaka University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Not Sure,Yes,Yes,Somewhat worried,Neutral,Sometimes,Maybe
Dhaka University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Strongly agree,Yes,Yes
Dhaka University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Maybe
Dhaka University ,Undergraduate,Monthly,It has had no impact on teaching methods,No,No,Yes,Yes,Yes,Not worried,Agree,Yes,Yes
Dhaka University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Not Sure,Yes,Somewhat worried,Neutral,Sometimes,Maybe
Dhaka University ,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Not Sure,Somewhat worried,Neutral,Sometimes,Maybe
Dhaka University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,No,Somewhat worried,Neutral,Yes,Yes
Dhaka University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Yes,Yes
Dhaka University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jagannath University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Not Sure,Not Sure,Yes,Somewhat worried,Agree,Yes,Yes
Jagannath University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Not Sure,Somewhat worried,Neutral,Sometimes,Maybe
Jagannath University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Maybe
Jagannath University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Maybe
Jagannath University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Neutral,Yes,Yes
Jagannath University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Maybe
Jagannath University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Maybe
Jagannath University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,No,No,No,Somewhat worried,Agree,Yes,Yes
Jagannath University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Maybe
Jagannath University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Maybe
Jagannath University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,No,No,No,Yes,Somewhat worried,Neutral,Sometimes,Maybe
Jagannath University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Jagannath University ,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,No,Yes,Yes,No,Somewhat worried,Neutral,Sometimes,Maybe
Jagannath University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Not Sure,Yes,Yes,Somewhat worried,Neutral,Yes,Yes
Jagannath University ,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Yes,Not Sure,Not Sure,Somewhat worried,Neutral,Sometimes,Maybe
Jagannath University ,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Neutral,Yes,Yes
Jagannath University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Yes,Somewhat worried,Neutral,Sometimes,Maybe
Dhaka University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Maybe
Jagannath University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Jagannath University ,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Not Sure,Somewhat worried,Agree,Yes,Yes
Jagannath University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Maybe
Jagannath University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Jagannath University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Yes,Somewhat worried,Neutral,Yes,Maybe
Jagannath University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Maybe
Jagannath University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Maybe
Jagannath University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Maybe
Jagannath University ,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Not Sure,Not Sure,Not Sure,Somewhat worried,Agree,Yes,Yes
Jagannath University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Jagannath University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Maybe
Daffodil international University ,Postgraduate,Monthly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Not worried,Agree,Sometimes,Yes
Daffodil international University ,Postgraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Strongly disagree,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Not Sure,Not Sure,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil international University ,Postgraduate,Weekly,It has slightly improved teaching methods,Not Sure,Yes,Yes,Yes,Not Sure,Somewhat worried,Strongly agree,Sometimes,No
Daffodil international University ,Undergraduate,Weekly,It has had no impact on teaching methods,Yes,Yes,Not Sure,Not Sure,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil international University ,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,No,Yes,worried,Agree,Yes,Maybe
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University ,Postgraduate,Daily,I am not sure how it affects teaching methods,Yes,Sometime,Yes,Yes,Not Sure,worried,Neutral,Sometimes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Not Sure,Yes,Yes,Yes,Yes,Not worried,Strongly agree,Yes,Yes
Daffodil international University ,Postgraduate,Weekly,It has had no impact on teaching methods,Yes,Yes,Yes,Not Sure,Yes,worried,Agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Yes,Not worried,Strongly agree,Sometimes,Yes
Daffodil international University ,Postgraduate,Weekly,It has improved teaching methods significantly,Not Sure,Yes,Yes,Yes,Not Sure,worried,Strongly agree,Yes,Maybe
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Yes,worried,Agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Monthly,It has improved teaching methods significantly,Not Sure,Yes,Not Sure,Yes,Yes,Not worried,Strongly agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Daily,It has slightly improved teaching methods,Not Sure,Yes,Yes,Not Sure,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,It has had no impact on teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has had no impact on teaching methods,Yes,Yes,Yes,Not Sure,Yes,Not worried,Agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Monthly,It has slightly improved teaching methods,Not Sure,Yes,Yes,Yes,Not Sure,worried,Agree,Yes,Maybe
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Not worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Daffodil international University ,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Yes,worried,Strongly agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Not Sure,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Yes,Not Sure,Yes,Not worried,Strongly agree,Yes,Maybe
